park_id,park_name,area_sqkm,lat,lon,amenities_available,h3_index,index_right,ward_id
kmlpark_85,,0.05775,13.077692,77.525564,,88601696cbfffff,195.0,ward_196
kmlpark_86,,0.07871,13.060254,77.516118,,8860145933fffff,175.0,ward_176
kmlpark_87,,0.05573,13.05035,77.516813,,88601459edfffff,175.0,ward_176
kmlpark_88,,0.05803,13.053733,77.486944,,8860145985fffff,,ward_195
kmlpark_89,,0.03148,13.051338,77.484371,,8860145987fffff,,ward_195
kmlpark_90,,0.0576,13.055884,77.484237,,8860145987fffff,,ward_195
kmlpark_91,,0.0661,13.06246,77.501372,,88601459e7fffff,,ward_195
kmlpark_92,,0.03848,13.062633,77.501427,,88601459e7fffff,,ward_195
kmlpark_93,,0.08197,13.062553,77.500972,,88601459e7fffff,,ward_195
kmlpark_94,,0.05051,13.057932,77.501621,,88601459e7fffff,194.0,ward_195
kmlpark_95,,0.01868,13.047733,77.503937,,88601459ebfffff,171.0,ward_172
kmlpark_96,,0.06507,13.048854,77.504246,,88601459ebfffff,194.0,ward_195
kmlpark_97,,0.04445,13.055178,77.491291,,8860145985fffff,,ward_195
kmlpark_98,,0.04865,13.046774,77.55354,,886014590dfffff,149.0,ward_150
kmlpark_99,,0.0186,13.049304,77.548264,,8860145905fffff,149.0,ward_150
kmlpark_100,,0.08244,13.034909,77.551328,,8860145909fffff,98.0,ward_99
kmlpark_101,,0.0768,13.033097,77.54939,,8860145943fffff,98.0,ward_99
kmlpark_102,,0.07663,13.038227,77.554122,,8860145947fffff,113.0,ward_114
kmlpark_103,,0.05722,13.04104,77.558328,,8860145947fffff,113.0,ward_114
kmlpark_104,,0.06271,13.04045,77.568308,,8860145945fffff,101.0,ward_102
kmlpark_105,,0.08566,13.034994,77.572828,,8861892c93fffff,101.0,ward_102
kmlpark_106,,0.05685,13.034439,77.569718,,886014594dfffff,101.0,ward_102
kmlpark_107,,0.09148,13.043501,77.568341,,8860145969fffff,101.0,ward_102
kmlpark_108,,0.06799,13.0308,77.5733,,886014594dfffff,101.0,ward_102
kmlpark_109,,0.05623,13.031914,77.577286,,8861892c9bfffff,97.0,ward_98
kmlpark_110,,0.04063,13.028165,77.573781,,886014594dfffff,101.0,ward_102
kmlpark_111,,0.06496,13.032503,77.563442,,8860145941fffff,99.0,ward_100
kmlpark_112,,0.04612,13.028137,77.574426,,8860145b27fffff,101.0,ward_102
kmlpark_113,,0.03339,13.035,77.572843,,8861892c93fffff,101.0,ward_102
kmlpark_114,,0.0275,13.034379,77.578804,,8861892c9bfffff,97.0,ward_98
kmlpark_115,,0.0824,13.031862,77.577332,,8861892c9bfffff,97.0,ward_98
kmlpark_116,,0.00917,13.033855,77.576081,,8861892c9bfffff,97.0,ward_98
kmlpark_117,,0.07525,13.031201,77.580742,,8861892c9bfffff,97.0,ward_98
kmlpark_118,,0.0241,13.041545,77.581445,,8861892c91fffff,97.0,ward_98
kmlpark_119,,0.07413,13.039761,77.577564,,8861892c93fffff,97.0,ward_98
kmlpark_120,,0.03676,13.024964,77.583109,,8860145b25fffff,97.0,ward_98
kmlpark_121,,0.0699,13.033584,77.585343,,8861892c99fffff,97.0,ward_98
kmlpark_122,,0.09769,13.029263,77.588846,,8861892c99fffff,89.0,ward_90
kmlpark_123,,0.05,13.024124,77.586553,,8860145b25fffff,55.0,ward_56
kmlpark_124,,0.06898,13.028587,77.595534,,8861892cd7fffff,89.0,ward_90
kmlpark_125,,0.07578,13.025211,77.626179,,8861892cc9fffff,106.0,ward_107
kmlpark_126,,0.04601,13.025886,77.627761,,8861892cc9fffff,142.0,ward_143
kmlpark_127,,0.0426,13.02727,77.627364,,8861892ccdfffff,142.0,ward_143
