h3_id,centroid_lat,centroid_lon,ward_id,hex_area_sqm,total_buildings,total_footprint_m2,builtup_pct,avg_floors,avg_height_m
88618925bdfffff,12.956038778798098,77.59423216594503,ward_24,759536.3130464532,1077,250328.14267091264,32.95802167336305,0.018570102135561744,
8860145a55fffff,12.926290664253608,77.5432022402675,ward_112,758933.8523167425,970,212656.05464615705,28.020367519118732,0.05567010309278351,
8860145959fffff,13.016046882954079,77.54469686488638,ward_76,758794.864272785,1910,265931.9463533703,35.04661916870439,0.013089005235602094,
8860145b61fffff,13.000929070055918,77.59498730472524,ward_7,759466.4882385993,397,130285.7713591333,17.154907211416262,0.027707808564231738,
8861892c53fffff,13.02319638771894,77.6501527767007,ward_160,760132.0100314223,1760,278153.7306269205,36.592819004612394,0.005681818181818182,36.55
8861892ee1fffff,13.000730850433879,77.65398641237643,ward_144,760221.3758649259,375,51306.11421331555,6.748838672806734,,
8861892eddfffff,12.9708552977065,77.63661776498232,ward_106,760052.5855464003,1850,268423.1717661974,35.31639479566122,0.17189189189189188,
8861892ed1fffff,12.970885288952777,77.62818939165581,ward_69,759944.7597843655,1525,213335.92290238137,28.072556610945707,0.005245901639344262,
8860145b3bfffff,13.001062428301962,77.55286897286264,ward_50,758926.4924535336,2543,329330.03073149105,43.39419350967706,0.07196224931183641,
886014594dfffff,13.03093101821963,77.57021486830193,ward_102,759095.2809367442,1155,295736.0224842527,38.959012117596934,0.033766233766233764,
8861892eebfffff,12.993261655899639,77.64964361788373,ward_148,760179.2503876361,219,119820.73589467042,15.762168703443372,,
8861892ec5fffff,12.985762825328313,77.65373164169289,ward_148,760244.844118379,632,209718.43627985773,27.585644006972323,,
8861892c99fffff,13.030880206874519,77.58706473012481,ward_90,759311.2306148573,890,169578.1781262783,22.333158168747385,0.015730337078651686,
8861892ec7fffff,12.98579266535019,77.64530124516153,ward_148,760137.0768319106,960,135844.8315161518,17.871096629350607,0.057291666666666664,
88618925b3fffff,12.956097152047933,77.5773850393682,ward_11,759320.3604249279,943,240241.62474283873,31.639033702243367,0.031813361611876985,
8860145b3dfffff,13.00850335883035,77.5656275008349,ward_31,759076.7972067553,912,286244.5184138459,37.709559753000775,0.10526315789473684,
8861892eadfffff,13.015727007540049,77.64580994508394,ward_153,760089.9967315191,1729,242422.66553162405,31.893942371833788,0.006940427993059572,3.0
8861892c59fffff,13.01566984995545,77.66267326671944,ward_153,760305.4825319118,286,46275.065655071805,6.086378004400294,0.0034965034965034965,
8860145a41fffff,12.926231666909041,77.56004126112576,ward_91,759150.0365844258,1269,189107.0334989928,24.910363483590775,0.0015760441292356187,
8861892c9dfffff,13.038348291973255,77.59140348905001,ward_90,759353.2759531552,705,110965.81867667113,14.61320075789291,0.06808510638297872,
8860145b6dfffff,13.000901576141489,77.60341336139636,ward_33,759574.4085333339,1150,204435.46465438505,26.914475047827178,0.011304347826086957,
8861892ec3fffff,12.97832387916077,77.64095929419825,ward_101,760094.8552143698,1562,294908.6025822353,38.79892102401642,0.4827144686299616,
88618925e3fffff,12.948481416345501,77.6151691770382,ward_52,759817.6147791499,1256,107119.63983054875,14.098072714684873,0.018312101910828025,34.325
88618925e1fffff,12.948450785504795,77.62359570770249,ward_104,759925.4883885195,1411,239223.76130645035,31.479897037503342,0.04323175053153792,33.05
8861892ec9fffff,12.970794492951718,77.65347689647939,ward_146,760268.1576347568,2275,338730.3409138687,44.55406128906945,0.03428571428571429,
8861892513fffff,12.933452538750462,77.63176943519348,ward_120,760056.2485897946,1804,290198.97526567156,38.18124984882443,0.06319290465631928,
8861892ecbfffff,12.970825032397936,77.64504693334098,ward_101,760160.3848377618,1435,293088.0496711437,38.55608046895214,0.5254355400696864,
8861892ed9fffff,12.963386921362435,77.63227665750212,ward_106,760010.2678434133,681,99689.71635879927,13.116890728552443,0.03524229074889868,
8860145a2bfffff,12.956210619770674,77.543700348909,ward_47,758888.1401570388,131,61245.5896234045,8.070437048960969,0.09923664122137404,
8860145b53fffff,12.971115361736077,77.5607910564316,ward_12,759081.2041977043,863,139144.4636433934,18.330642739396946,0.10428736964078796,
8860145b51fffff,12.971087560270856,77.5692130604357,ward_1,759189.2406935049,459,100201.48283829534,13.19848563011288,0.19607843137254902,
8860145b1dfffff,12.986075986548558,77.56104103815647,ward_15,759057.9513143207,1462,270942.45723892254,35.69456808531963,0.003419972640218878,
8861892ed7fffff,12.978383161730882,77.6241021143656,ward_44,759879.2091971819,1924,202912.94622363138,26.703315970180373,0.03170478170478171,
886014584bfffff,12.971223834528374,77.52711101587664,ward_74,758648.7963664227,1567,220756.84159243575,29.09868738337938,0.0006381620931716656,
8860145841fffff,12.978689635679572,77.53144455358252,ward_79,758691.2727115098,1264,202454.9521650612,26.68476090959914,0.0007911392405063291,
8861892eb1fffff,13.008342143162949,77.61618035902136,ward_61,759724.459942009,2562,260960.6441055792,34.34938031684524,0.0858704137392662,27.0
8860145849fffff,12.97119712613916,77.53552982919538,ward_63,758756.9375462711,2233,339297.7182289808,44.71757705784264,0.02373488580385132,15.0
886014584dfffff,12.978663142142524,77.53986398217546,ward_43,758799.3980745001,1289,213796.6735226851,28.17565143899787,0.055857253685027156,105.0
8860145a31fffff,12.956265715452142,77.52686278903666,ward_83,758671.8729616558,1287,191207.1410182758,25.20287726917479,0.006993006993006993,
8860145a35fffff,12.963731317117672,77.53119609815313,ward_74,758714.4291691815,1819,258535.65914803094,34.075489961504545,0.007146783947223749,
8860145a27fffff,12.971170144594526,77.54394944056097,ward_38,758865.0525967951,2139,284965.42650998215,37.55152850099578,0.001402524544179523,
88618925adfffff,12.963447056116182,77.61542193463188,ward_46,759794.5579619483,1600,192873.6992908559,25.384980356823682,0.024375,
8861892e99fffff,12.978412391864921,77.61567471749112,ward_44,759771.3465346454,391,153739.72407877422,20.234998961199143,0.289002557544757,
8860145a1dfffff,12.933813771274655,77.5306992617641,ward_136,758760.2793232542,416,80500.3852664621,10.609462232032122,0.0889423076923077,
88618925abfffff,12.956009182061898,77.60265692369164,ward_24,759644.2498771932,1196,167635.84393886584,22.067677595922888,0.07692307692307693,25.0
88618925d7fffff,12.926110400092387,77.59372886586442,ward_72,759582.0902966815,1482,184487.1116835071,24.287975459169814,0.006747638326585695,
8861892e97fffff,12.993405677152369,77.60750049134091,ward_34,759640.0969909357,1501,255573.03958812956,33.64396384557609,0.039973351099267154,
8860145b29fffff,13.008450717284164,77.58247526686166,ward_39,759292.78999123,612,250511.557896723,32.99274814655048,0.16830065359477125,5.0
8860145b67fffff,13.008423985246273,77.59090034526538,ward_45,759400.7469741554,245,84650.64258129704,11.147031777172844,,
8860145b63fffff,13.000956289780829,77.5865620444853,ward_7,759358.5416203467,162,61827.484390420796,8.142067416334196,,
8861892eabfffff,13.008286209374521,77.63303768112861,ward_110,759940.1366531182,2861,297446.58989520033,39.14079222150265,,
8861892ebdfffff,13.008314313559222,77.62460862228264,ward_86,759832.31150885,2650,267386.26371779374,35.19016757616255,0.5516981132075471,
8861892e87fffff,13.000817448503527,77.62869630748013,ward_89,759898.0111761489,1586,266197.3952425997,35.03067402829319,0.27616645649432536,
8861892e95fffff,12.993377421558264,77.6159275256197,ward_41,759747.9805213518,850,196356.63414643554,25.844969539990394,0.11176470588235295,
8861892cd3fffff,13.023386294619497,77.59115190458361,ward_56,759377.0886663334,2475,308283.1926322964,40.596851976891095,,
8861892cdbfffff,13.01589188519748,77.59523906797618,ward_45,759442.9043494302,1076,156369.3591420291,20.590008576876688,,
